LocalTime;T;Po;P;Pa;U;DD
19.10.2020 11:00;8;761.2;762.5;;83;Ветер
19.10.2020 08:00;5.3;760;761.3;;90;Ветер
19.10.2020 05:00;3.1;759.2;760.6;;94;Ветер
19.10.2020 02:00;2.9;758.2;759.6;;90;Ветер
18.10.2020 23:00;3;757.2;758.5;;91;Ветер
18.10.2020 20:00;4.2;753;757.6;;89;Ветер
18.10.2020 17:00;7.5;754.9;756.1;;79;Ветер
18.10.2020 14:00;8.6;753.1;754.3;;93;Ветер
18.10.2020 11:00;7.9;752.1;753.4;;92;Ветер
18.10.2020 08:00;5.3;753.6;754.9;;93;Ветер
18.10.2020 05:00;2.5;755.2;756.5;;97;Ветер
18.10.2020 02:00;3.2;757;758.4;;96;Ветер
17.10.2020 23:00;5.4;758.5;759.8;;96;Ветер
17.10.2020 20:00;5.8;759.6;760.9;;94;Штиль
17.10.2020 17:00;6.9;760.3;761.7;;86;Ветер
17.10.2020 14:00;7.3;761.5;762.8;;82;Ветер
17.10.2020 11:00;6.4;762.7;764;;86;Ветер
17.10.2020 08:00;4.7;763.3;764.6;;92;Ветер
17.10.2020 05:00;5.1;763.3;764.7;;90;Ветер
17.10.2020 02:00;5.5;764;765.4;;88;Ветер
16.10.2020 23:00;6.3;764.1;765.4;;85;Ветер
16.10.2020 20:00;7.1;763.7;765.1;;86;Ветер
16.10.2020 17:00;8.4;762.8;764.1;;82;Ветер
16.10.2020 14:00;9.6;762.8;764.1;;73;Ветер
16.10.2020 11:00;8;762.4;763.7;;90;Ветер
16.10.2020 08:00;3.2;762.1;763.5;;99;Штиль
16.10.2020 05:00;7;761.8;763.1;;95;Ветер
16.10.2020 02:00;7.4;761.6;762.9;;91;Ветер
15.10.2020 23:00;8;761.2;762.5;;95;Ветер
15.10.2020 20:00;9.1;760.5;761.8;;92;Ветер
15.10.2020 17:00;9.9;759.7;761;;90;Ветер
15.10.2020 14:00;10.7;758.8;760.1;;83;Ветер
15.10.2020 11:00;8.7;758;759.3;;97;Штиль
15.10.2020 08:00;6.9;756.8;758.1;;98;Штиль
15.10.2020 05:00;8;756.1;757.4;;97;Ветер
15.10.2020 02:00;8.5;755.6;756.9;;96;Ветер
14.10.2020 23:00;8.5;755.1;756.4;;97;Ветер
14.10.2020 20:00;8.9;754.5;755.8;;96;Ветер
14.10.2020 17:00;8.9;753.8;755.1;;96;Ветер
14.10.2020 14:00;9.2;753.3;754.6;;93;Ветер
14.10.2020 11:00;8.7;753.2;754.5;;93;Ветер
14.10.2020 08:00;8.3;752.8;754.1;;92;Ветер
14.10.2020 05:00;8.5;754.2;755.5;;89;Ветер
14.10.2020 02:00;9.1;757;758.2;;85;Ветер
13.10.2020 23:00;9.8;758.5;759.7;;82;Ветер
13.10.2020 20:00;10.2;759.2;760.5;;82;Ветер
13.10.2020 17:00;10.1;759.5;760.8;;88;Ветер
13.10.2020 14:00;10;760;761.3;;82;Ветер
13.10.2020 11:00;7.3;760.3;761.6;;98;Штиль
13.10.2020 08:00;2.3;760;761.3;;100;Штиль
13.10.2020 05:00;2.8;759.7;761.1;;100;Ветер
13.10.2020 02:00;4.7;760.3;761.7;;99;Ветер
12.10.2020 23:00;6.7;761;762.4;;97;Ветер
12.10.2020 20:00;7.4;761.3;762.6;;95;Ветер
12.10.2020 17:00;8.8;761.2;762.5;;86;Ветер
12.10.2020 14:00;9.8;761.2;762.5;;80;Ветер
12.10.2020 11:00;8.3;761.8;763;;95;Ветер
12.10.2020 08:00;4.4;761.5;762.9;;99;Ветер
12.10.2020 05:00;3.2;761.7;763;;100;Ветер
12.10.2020 02:00;1.8;762.2;763.6;;100;Ветер
11.10.2020 23:00;3.2;762.5;763.9;;100;Штиль
11.10.2020 20:00;5.8;762.5;763.9;;93;Штиль
11.10.2020 17:00;11.1;762.2;763.5;;65;Ветер
11.10.2020 14:00;13.1;762.3;763.6;;61;Ветер
11.10.2020 11:00;10.3;762.4;763.7;;91;Ветер
11.10.2020 08:00;7;762;763.3;;97;Ветер
11.10.2020 05:00;8.1;761.4;762.7;;97;Ветер
11.10.2020 02:00;10.1;761.2;762.5;;97;Ветер
10.10.2020 23:00;11.3;760.9;762.1;;98;Ветер
10.10.2020 20:00;12.7;760.3;761.5;;98;Ветер
10.10.2020 17:00;14;760.1;761.4;;95;Ветер
10.10.2020 14:00;16.9;760;761.3;;76;Ветер
10.10.2020 08:00;10;761.2;762.4;;97;Ветер
10.10.2020 05:00;8.8;762;763.3;;96;Ветер
10.10.2020 02:00;9.6;762.9;764.2;;96;Ветер
09.10.2020 23:00;8.5;763.1;764.4;;97;Ветер
09.10.2020 20:00;8.5;762.7;764;;94;Ветер
09.10.2020 17:00;13.5;761.5;762.8;;71;Ветер
09.10.2020 14:00;15;760.3;761.5;;80;Ветер
09.10.2020 11:00;13.2;759;760.3;;96;Ветер
09.10.2020 08:00;11.1;758.3;759.6;;91;Ветер
09.10.2020 05:00;11.5;758.6;759.9;;86;Ветер
09.10.2020 02:00;11.2;759.7;761;;88;Ветер
08.10.2020 23:00;9.9;760.9;762.2;;92;Ветер
08.10.2020 20:00;9.3;761.5;762.7;;95;Ветер
08.10.2020 17:00;12.9;761.6;762.9;;79;Ветер
08.10.2020 14:00;12.8;761.6;762.9;;84;Ветер
08.10.2020 11:00;10.7;761.8;763;;96;Ветер
08.10.2020 08:00;7.2;760.7;762;;99;Ветер
08.10.2020 05:00;7.4;759.6;760.9;;97;Ветер
08.10.2020 02:00;8.1;759.1;760.3;;95;Ветер
07.10.2020 23:00;9.5;758.2;759.4;;97;Ветер
07.10.2020 20:00;11.8;757;758.3;;89;Ветер
07.10.2020 17:00;15.4;756;757.3;;78;Ветер
07.10.2020 14:00;17;755.2;756.4;;73;Ветер
07.10.2020 11:00;15.3;754.6;755.9;;75;Ветер
07.10.2020 08:00;11.6;754.3;755.5;;89;Ветер
07.10.2020 05:00;10.6;753.7;754.9;;91;Ветер
07.10.2020 02:00;12;753.9;755.2;;87;Ветер
06.10.2020 23:00;12.8;753.9;755.2;;85;Ветер
06.10.2020 20:00;12.1;754.1;755.4;;85;Ветер
06.10.2020 17:00;15.3;754.2;755.5;;68;Ветер
06.10.2020 14:00;17.4;754;755.3;;60;Ветер
06.10.2020 11:00;14.3;754.3;755.5;;79;Ветер
06.10.2020 08:00;11.4;753.4;754.6;;90;Ветер
06.10.2020 05:00;13.5;751.6;752.8;;93;Ветер
06.10.2020 02:00;13.7;749.7;751;;98;Ветер
05.10.2020 23:00;14;749.5;750.7;;94;Ветер
05.10.2020 20:00;16.3;753.2;754.5;;91;Ветер
05.10.2020 17:00;18;754.5;755.8;;76;Ветер
05.10.2020 14:00;19.7;755.7;757;;65;Ветер
